,range,frequency,expected_frequency,O-E,(O-E)^2/E
0,"(0, 15]",147,154.99283458221308,-7.992834582213078,0.41218295562389035
1,"(15, 30]",85,74.91690534278219,10.083094657217814,1.3570875278580847
2,"(30, 45]",34,36.21162695209835,-2.2116269520983494,0.13507522823313522
3,"(45, 60]",18,17.50315126496706,0.49684873503294114,0.014103669777334713
4,"(60, 75]",7,8.460274502705417,-1.460274502705417,0.25204875120419035
5,"(75, 90]",5,4.0893347476456325,0.9106652523543675,0.20279856089626952
6,"(90, 105]",4,1.9766094673351802,2.02339053266482,2.0712787808292794
